sentence	concepts_sentence	true number of concepts	true found concepts	false found concepts
 Known inherited predisposition to  bleeding or  thrombosis 	{'predisposition': SNOMEDCT_US["76522002"] # Diathesis , 'bleeding': SNOMEDCT_US["131148009"] # Bleeding , 'thrombosis': SNOMEDCT_US["439127006"] # Thrombosis , 'inherited': SNOMEDCT_US["16728003"] # Inherited spastic paresis , 'Known': SNOMEDCT_US["36692007"] # Known }	5	4	1
 6 .  Patients whose general clinical  condition does not consider postponing  surgery . 	{'Patients': SNOMEDCT_US["269691005"] # Medical accidents to patients during surgical and medical care , 'consider': None, 'postponing': None, 'surgery': SNOMEDCT_US["257556004"] # Surgery , 'condition': SNOMEDCT_US["260905004"] # Condition , 'clinical': SNOMEDCT_US["58147004"] # Clinical , 'general': SNOMEDCT_US["60132005"] # Generalized }	3	1	4
  Skin conditions that in the opinion of PI would be at risk of worsening with study . 	{'conditions': SNOMEDCT_US["274412005"] # Eye disorder screening , 'risk': SNOMEDCT_US["609103002"] # Educated about risk of unprotected sexual intercourse , 'worsening': SNOMEDCT_US["230993007"] # Worsening , 'study': SNOMEDCT_US["224699009"] # Study , 'opinion': SNOMEDCT_US["310346004"] # Patient requests another opinion after seeing consultant , 'PI': SNOMEDCT_US["421654003"] # Pi , 'Skin': SNOMEDCT_US["39937001"] # Skin structure }	6	2	5
 3 .  Patients with any previous or  current concomitant  other malignant cancer . 	{'Patients': SNOMEDCT_US["116154003"] # Patient , 'previous': SNOMEDCT_US["9130008"] # Previous , 'current': SNOMEDCT_US["15240007"] # Current , 'cancer': SNOMEDCT_US["363346000"] # Malignant neoplastic disease , 'malignant': SNOMEDCT_US["21594007"] # Malignant , 'other': SNOMEDCT_US["74964007"] # Other , 'concomitant': SNOMEDCT_US["79970003"] # Simultaneous }	7	6	1
  Adequate organ and hematological function 	{'function': SNOMEDCT_US["277064003"] # Function , 'organ': SNOMEDCT_US["274688009"] # Abnormal cytological finding in specimen from female genital organ , 'hematological': SNOMEDCT_US["397357000"] # Systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease , 'Adequate': SNOMEDCT_US["88323005"] # Adequate }	4	2	2
 History of  intolerance ( including  Grade 3-4 infusion reaction ) or  hypersensitivity to  trastuzumab ,  murine proteins , or  docetaxel . 	{'History': SNOMEDCT_US["392521001"] # History of , 'intolerance': SNOMEDCT_US["29544009"] # Intolerance , 'Grade': SNOMEDCT_US["103421006"] # Grade , 'reaction': SNOMEDCT_US["263851003"] # Reaction , 'infusion': SNOMEDCT_US["36576007"] # Infusion , 'including': SNOMEDCT_US["55919000"] # Including , 'hypersensitivity': SNOMEDCT_US["240407009"] # Type 1 lepra reaction , 'trastuzumab': SNOMEDCT_US["387003001"] # Trastuzumab , 'proteins': SNOMEDCT_US["388321009"] # Mouse urine proteins specific immunoglobulin E , 'murine': SNOMEDCT_US["407459001"] # Murine pneumotropic virus , 'docetaxel': SNOMEDCT_US["386918005"] # Docetaxel }	10	6	5
 Elevated  stress ,  distress or  negative mood 	{'stress': SNOMEDCT_US["262188008"] # Stress , 'distress': SNOMEDCT_US["69328002"] # Distress , 'mood': SNOMEDCT_US["85256008"] # Mood , 'negative': SNOMEDCT_US["260385009"] # Negative , 'Elevated': SNOMEDCT_US["75540009"] # High }	5	5	0
  Measurable disease according to RECIST 1.0 	{'disease': SNOMEDCT_US["64572001"] # Disease , 'RECIST': None, 'according': SNOMEDCT_US["370857000"] # Transporting according to individual needs , 'Measurable': SNOMEDCT_US["399435001"] # Specimen measurable }	2	2	1
  Previous  breast cancer  treatment 	{'treatment': SNOMEDCT_US["718263006"] # Plasma photochemical treatment kit , 'cancer': SNOMEDCT_US["363346000"] # Malignant neoplastic disease , 'breast': SNOMEDCT_US["76752008"] # Breast structure , 'Previous': SNOMEDCT_US["9130008"] # Previous }	3	1	3
 2 .   Acute hypercalcemia (  > 3.5 mmol/L ) 	{'hypercalcemia': SNOMEDCT_US["66931009"] # Hypercalcemia , 'mmol': SNOMEDCT_US["258718000"] # mmol , 'L': SNOMEDCT_US["258770004"] # L , 'Acute': SNOMEDCT_US["415477002"] # SARS coronavirus TW10 }	3	1	3
 Subjects diagnosed with Stage IIIB or  IV breast cancer who have failed with or refuse to receive  standard chemotherapies 	{'Subjects': SNOMEDCT_US["739683002"] # Infant of subject , 'diagnosed': SNOMEDCT_US["767310001"] # Family history of malignant neoplasm of breast at under age 50 in second degree female relative , 'cancer': SNOMEDCT_US["363346000"] # Malignant neoplastic disease , 'failed': SNOMEDCT_US["76889003"] # Failed attempted termination of pregnancy with cerebral anoxia , 'refuse': SNOMEDCT_US["58377000"] # Trash , 'receive': SNOMEDCT_US["425183007"] # No one at home to receive patient , 'chemotherapies': None, 'standard': SNOMEDCT_US["257227000"] # Anesthetic laryngoscope , 'breast': SNOMEDCT_US["76752008"] # Breast structure , 'Stage': SNOMEDCT_US["258214002"] # Stage }	5	0	9
 14 .  Any  condition , which in the investigator 's opinion would not make the patient a suitable candidate for inclusion in the trial . 	{'condition': SNOMEDCT_US["260905004"] # Condition , 'make': SNOMEDCT_US["365925001"] # Finding related to ability to make considered choices , 'patient': SNOMEDCT_US["116154003"] # Patient , 'candidate': SNOMEDCT_US["105458008"] # Candidate donor , 'inclusion': SNOMEDCT_US["75425005"] # Intranuclear membrane lamellae , 'trial': SNOMEDCT_US["704897009"] # Humeral stem extension trial prosthesis , 'suitable': SNOMEDCT_US["719345002"] # Not suitable for cardiac rehabilitation program , 'opinion': SNOMEDCT_US["310346004"] # Patient requests another opinion after seeing consultant , 'investigator': SNOMEDCT_US["768819009"] # Medically responsible investigator }	8	3	6
  Cognitive impairment 	{'impairment': SNOMEDCT_US["40226000"] # Impairment , 'Cognitive': SNOMEDCT_US["773421009"] # Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression }	1	0	2
 History of or  current  autoimmune diseaseincluding but not limited to  Sjogrens Syndrome ,  Systemic Sclerosis ( SSc ) ,  Scleroderma ( Scl ) and  Dermatomyositis ,  Systemic Lupus Erythematosus ,  Multiple Sclerosis ,  Type I Diabetes ,  Rheumatoid Arthritis 	{'History': SNOMEDCT_US["392521001"] # History of , 'autoimmune disease': SNOMEDCT_US["85828009"] # Autoimmune disease , 'limited': SNOMEDCT_US["255469002"] # Limited , 'Sjogrens Syndrome': SNOMEDCT_US["83901003"] # Sjögren's syndrome , 'Sclerosis': SNOMEDCT_US["43846000"] # Sclerosis , 'Systemic': SNOMEDCT_US["31099001"] # Systemic , 'SSc': None, 'Scleroderma': SNOMEDCT_US["422801000"] # Scleroderma (fungus) , 'Scl': SNOMEDCT_US["122228002"] # Measurement of polymyositis-scleroderma extractable nuclear antibody , 'Dermatomyositis': SNOMEDCT_US["396230008"] # Dermatomyositis , 'Erythematosus': SNOMEDCT_US["200941006"] # Lupus erythematosus tumidus , 'Lupus': SNOMEDCT_US["200936003"] # Lupus erythematosus , 'Multiple': SNOMEDCT_US["255204007"] # Multiple , 'Type': SNOMEDCT_US["410657003"] # Type - attribute , 'Diabetes': SNOMEDCT_US["138891000119109"] # Moderate nonproliferative retinopathy due to type 1 diabetes mellitus , 'Rheumatoid Arthritis': SNOMEDCT_US["69896004"] # Rheumatoid arthritis , 'including': SNOMEDCT_US["55919000"] # Including }	13	8	8
 2 .   Major surgery or  significant traumatic injury within four weeks prior to enrolment . 	{'surgery': SNOMEDCT_US["257556004"] # Surgery , 'traumatic injury': SNOMEDCT_US["417746004"] # Traumatic injury , 'significant': SNOMEDCT_US["386134007"] # Significant , 'weeks': SNOMEDCT_US["258705008"] # week , 'enrolment': SNOMEDCT_US["709491003"] # Enrollment in clinical trial , 'prior': SNOMEDCT_US["142016009"] # Electrocardiogram improved compared to prior study , 'Major': SNOMEDCT_US["255603008"] # Major }	7	6	1
 Evidence of excess use of  narcotics or  drug dependency 	{'Evidence': 'CUI[C3887511] # Evidence', 'use': 'CUI[C0457083] # Use', 'narcotics': 'CUI[C0027415] # Opioid'}	5	2	1
  No  previous chemotherapy for  metastatic disease 	{'chemotherapy': 'CUI[C3665472] # Chemotherapy', 'metastatic disease': 'CUI[C2939420] # Metastatic Neoplasm', 'previous': 'CUI[C0205156] # Previous'}	3	3	0
 < 20 % of  intraductal carcinoma 	{'carcinoma': 'CUI[C0007097] # Malignant epithelial neoplasm', 'intraductal': 'CUI[C1512936] # Intraductal Route of Administration'}	2	1	1
 4 .  do not receive any  treatment of lymph  edema	{'receive': 'CUI[C1514756] # Receive', 'treatment': 'CUI[C0087111] # Therapeutic Procedure', 'lymph': 'CUI[C0024202] # Lymph', 'edema': 'CUI[C0013604] # Edema'}	3	2	2
 Patient has a confirmed diagnosis of estrogen-receptor positive and/or  progesterone receptor positive  breast cancer by local laboratory and has HER2-negative  breast cancer 	{'Patient': 'CUI[C0030705] # Patient', 'diagnosis': 'CUI[C0011900] # Diagnosis', 'positive': 'CUI[C1446409] # Positive', 'laboratory': 'CUI[C0022877] # Laboratory', 'local': 'CUI[C1947913] # Local-Regional', 'confirmed': 'CUI[C0750484] # Confirmation'}	10	5	1
